,input,output,a,b,SMILES
42,1o+2c,3oc,66,60,[Si](C=C)(C)(C)OCC.[SiH](c1ccccc1)(c1ccccc1)C>>[Si](CC[Si](c1ccccc1)(c1ccccc1)C)(C)(OCC)C
43,1o+2d,3od,65,82,[Si](C=C)(C)(C)OCC.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>[Si](CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)(C)(OCC)C
44,1o+2e,3oe,92,0,[Si](C=C)(C)(OCC)C.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>[Si](CC[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)(C)(C)OCC
45,1p+2b,3pb,34,34,[Si](C=C)(C)(OCC)OCC.[SiH](c1ccccc1)(C)C>>[Si](CC[Si](c1ccccc1)(C)C)(C)(OCC)OCC
46,1p+2c,3pc,48,48,[Si](C=C)(C)(OCC)OCC.[SiH](c1ccccc1)(c1ccccc1)C>>[Si](CC[Si](c1ccccc1)(c1ccccc1)C)(OCC)(OCC)C
47,1p+2d,3pd,59,59,[Si](C=C)(C)(OCC)OCC.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>[Si](CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)(OCC)(OCC)C
48,1p+2e,3pe,80,0,[Si](C=C)(C)(OCC)OCC.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>[Si](CC[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)(OCC)(C)OCC
49,1q+2b,3qb,33,21,C(C=C)O[Si](C)(C)C.[SiH](c1ccccc1)(C)C>>C(CC[Si](c1ccccc1)(C)C)O[Si](C)(C)C
50,1q+2c,3qc,47,33,C(C=C)O[Si](C)(C)C.[SiH](c1ccccc1)(c1ccccc1)C>>C(CC[Si](c1ccccc1)(c1ccccc1)C)O[Si](C)(C)C
51,1q+2d,3qd,51,65,C(C=C)O[Si](C)(C)C.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>C(CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)O[Si](C)(C)C
52,1q+2e,3qe,84,0,C(C=C)O[Si](C)(C)C.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)CO[Si](C)(C)C
53,1r+2b,3rb,9,12,C(C=C)OCCOCCOCCOC.[SiH](c1ccccc1)(C)C>>C(CC[Si](c1ccccc1)(C)C)OCCOCCOCCOC
54,1r+2c,3rc,36,25,C(C=C)OCCOCCOCCOC.[SiH](c1ccccc1)(c1ccccc1)C>>C(CC[Si](c1ccccc1)(c1ccccc1)C)OCCOCCOCCOC
55,1r+2d,3rd,39,39,C(C=C)OCCOCCOCCOC.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>C(CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)OCCOCCOCCOC
56,1r+2e,3re,85,0,C(C=C)OCCOCCOCCOC.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)COCCOCCOCCOC
57,1s+2b,3sb,13,14,C(C=C)OC(=O)OC(C)(C)C.[SiH](c1ccccc1)(C)C>>C(CC[Si](c1ccccc1)(C)C)OC(=O)OC(C)(C)C
58,1s+2c,3sc,29,26,C(C=C)OC(=O)OC(C)(C)C.[SiH](c1ccccc1)(c1ccccc1)C>>C(CC[Si](c1ccccc1)(c1ccccc1)C)OC(=O)OC(C)(C)C
59,1s+2d,3sd,40,43,C(C=C)OC(=O)OC(C)(C)C.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>C(CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)OC(=O)OC(C)(C)C
60,1s+2e,3se,91,0,C(C=C)OC(=O)OC(C)(C)C.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)COC(=O)OC(C)(C)C
61,1t+2b,3tb,26,15,C(C=C)O.[SiH](c1ccccc1)(C)C>>C(CC[Si](c1ccccc1)(C)C)O
62,1t+2c,3tc,32,33,C(C=C)O.[SiH](c1ccccc1)(c1ccccc1)C>>C(CC[Si](c1ccccc1)(c1ccccc1)C)O
63,1t+2d,3td,40,42,C(C=C)O.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>C(CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)O
64,1t+2e,3te,96,0,C(C=C)O.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)CO
65,1u+2b,3ub,21,25,C(C=C)N([Si](C)(C)C)[Si](C)(C)C.[SiH](c1ccccc1)(C)C>>C(CC[Si](c1ccccc1)(C)C)N([Si](C)(C)C)[Si](C)(C)C
66,1u+2c,3uc,30,29,C(C=C)N([Si](C)(C)C)[Si](C)(C)C.[SiH](c1ccccc1)(c1ccccc1)C>>C(CC[Si](c1ccccc1)(c1ccccc1)C)N([Si](C)(C)C)[Si](C)(C)C
67,1u+2d,3ud,43,36,C(C=C)N([Si](C)(C)C)[Si](C)(C)C.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>C(CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)N([Si](C)(C)C)[Si](C)(C)C
68,1u+2e,3ue,72,0,C(C=C)N([Si](C)(C)C)[Si](C)(C)C.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)CN([Si](C)(C)C)[Si](C)(C)C
69,1v+2e,3ve,93,90,C(C=C)NC(=O)OC(C)(C)C.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)CNC(=O)OC(C)(C)C
70,1w+2e,3we,70,67,C(C=C)N.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>C(C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)CN
